order,feature_name,label_ko,feature_group,source_kind,source_table_or_file,source_column,transform_or_definition,as_of_rule,disclosure_lag,coverage,non_null_count,unique_value_count,expected_sign,description,domain_rationale,statistical_evidence,literature_anchor
1,mkt_vol_ma60,,market_microstructure,current_pm_final,current_pm_final,mkt_vol_ma60,existing_pm_final_predictor,,,"non_null=2112, coverage_rate=0.9906191369606004",2112,2111,,Base all_in feature carried forward.,,,
2,fuel_lng_krwkwh,,power_energy,current_pm_final,current_pm_final,fuel_lng_krwkwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
3,fuel_anth_krwkwh,,power_energy,current_pm_final,current_pm_final,fuel_anth_krwkwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
4,pwr_peak_dem_mw,,power_energy,current_pm_final,current_pm_final,pwr_peak_dem_mw,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1992,,Base all_in feature carried forward.,,,
5,pwr_coal_gas_gwh,,power_energy,current_pm_final,current_pm_final,pwr_coal_gas_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,103,,Base all_in feature carried forward.,,,
6,pwr_hydro_gwh,,power_energy,current_pm_final,current_pm_final,pwr_hydro_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
7,pwr_mkt_tot_gwh,,power_energy,current_pm_final,current_pm_final,pwr_mkt_tot_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
8,pwr_nuke_gwh,,power_energy,current_pm_final,current_pm_final,pwr_nuke_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
9,pwr_waste_gwh,,power_energy,current_pm_final,current_pm_final,pwr_waste_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,63,,Base all_in feature carried forward.,,,
10,pwr_wind_gwh,,power_energy,current_pm_final,current_pm_final,pwr_wind_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
11,pwr_smp_jeju_krwkwh,,power_energy,current_pm_final,current_pm_final,pwr_smp_jeju_krwkwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,123,,Base all_in feature carried forward.,,,
12,wx_nat_cdd18,,weather,current_pm_final,current_pm_final,wx_nat_cdd18,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,696,,Base all_in feature carried forward.,,,
13,wx_nat_hdd18,,weather,current_pm_final,current_pm_final,wx_nat_hdd18,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,875,,Base all_in feature carried forward.,,,
14,wx_nat_avg_rh,,weather,current_pm_final,current_pm_final,wx_nat_avg_rh,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1528,,Base all_in feature carried forward.,,,
15,mkt_vwap,,market_microstructure,current_pm_final,current_pm_final,mkt_vwap,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1907,,Base all_in feature carried forward.,,,
16,mkt_vwap_lag1,,market_microstructure,current_pm_final,current_pm_final,mkt_vwap_lag1,existing_pm_final_predictor,,,"non_null=2131, coverage_rate=0.99953095684803",2131,1906,,Base all_in feature carried forward.,,,
17,mkt_vwap_lag20,,market_microstructure,current_pm_final,current_pm_final,mkt_vwap_lag20,existing_pm_final_predictor,,,"non_null=2112, coverage_rate=0.9906191369606004",2112,1887,,Base all_in feature carried forward.,,,
18,mkt_vwap_lag5,,market_microstructure,current_pm_final,current_pm_final,mkt_vwap_lag5,existing_pm_final_predictor,,,"non_null=2127, coverage_rate=0.99765478424015",2127,1902,,Base all_in feature carried forward.,,,
19,mkt_max_vwap,,market_microstructure,current_pm_final,current_pm_final,mkt_max_vwap,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1720,,Base all_in feature carried forward.,,,
20,mkt_min_vwap,,market_microstructure,current_pm_final,current_pm_final,mkt_min_vwap,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1752,,Base all_in feature carried forward.,,,
21,mkt_blend,,market_microstructure,current_pm_final,current_pm_final,mkt_blend,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,2,,Base all_in feature carried forward.,,,
22,mkt_vwap_rng,,market_microstructure,current_pm_final,current_pm_final,mkt_vwap_rng,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,218,,Base all_in feature carried forward.,,,
23,fuel_lng_krwton,,power_energy,current_pm_final,current_pm_final,fuel_lng_krwton,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
24,fuel_heat_lng_krwgcal,,power_energy,current_pm_final,current_pm_final,fuel_heat_lng_krwgcal,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
25,pwr_smp_land_krwkwh,,power_energy,current_pm_final,current_pm_final,pwr_smp_land_krwkwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
26,pwr_smp_total_krwkwh,,power_energy,current_pm_final,current_pm_final,pwr_smp_total_krwkwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,122,,Base all_in feature carried forward.,,,
27,fuel_heat_anth_krwgcal,,power_energy,current_pm_final,current_pm_final,fuel_heat_anth_krwgcal,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
