feature,feature_group,source,source_column,included,reason,non_null_count,coverage_rate,nunique,all_missing,constant,all_in_set,model_use,feature_label_ko,asof_rule
mkt_vol_ma60,market_microstructure,current_pm_final,mkt_vol_ma60,True,existing_pm_final_predictor,2112,0.9906191369606004,2111,False,False,all_in_finbert_60d,,,
fuel_lng_krwkwh,power_energy,current_pm_final,fuel_lng_krwkwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
fuel_anth_krwkwh,power_energy,current_pm_final,fuel_anth_krwkwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_peak_dem_mw,power_energy,current_pm_final,pwr_peak_dem_mw,True,existing_pm_final_predictor,2132,1.0,1992,False,False,all_in_finbert_60d,,,
pwr_coal_gas_gwh,power_energy,current_pm_final,pwr_coal_gas_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,103,False,False,all_in_finbert_60d,,,
pwr_hydro_gwh,power_energy,current_pm_final,pwr_hydro_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_mkt_tot_gwh,power_energy,current_pm_final,pwr_mkt_tot_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_nuke_gwh,power_energy,current_pm_final,pwr_nuke_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_waste_gwh,power_energy,current_pm_final,pwr_waste_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,63,False,False,all_in_finbert_60d,,,
pwr_wind_gwh,power_energy,current_pm_final,pwr_wind_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_smp_jeju_krwkwh,power_energy,current_pm_final,pwr_smp_jeju_krwkwh,True,existing_pm_final_predictor,2128,0.99812382739212,123,False,False,all_in_finbert_60d,,,
wx_nat_cdd18,weather,current_pm_final,wx_nat_cdd18,True,existing_pm_final_predictor,2132,1.0,696,False,False,all_in_finbert_60d,,,
wx_nat_hdd18,weather,current_pm_final,wx_nat_hdd18,True,existing_pm_final_predictor,2132,1.0,875,False,False,all_in_finbert_60d,,,
wx_nat_avg_rh,weather,current_pm_final,wx_nat_avg_rh,True,existing_pm_final_predictor,2132,1.0,1528,False,False,all_in_finbert_60d,,,
mkt_vwap,market_microstructure,current_pm_final,mkt_vwap,True,existing_pm_final_predictor,2132,1.0,1907,False,False,all_in_finbert_60d,,,
mkt_vwap_lag1,market_microstructure,current_pm_final,mkt_vwap_lag1,True,existing_pm_final_predictor,2131,0.99953095684803,1906,False,False,all_in_finbert_60d,,,
mkt_vwap_lag20,market_microstructure,current_pm_final,mkt_vwap_lag20,True,existing_pm_final_predictor,2112,0.9906191369606004,1887,False,False,all_in_finbert_60d,,,
mkt_vwap_lag5,market_microstructure,current_pm_final,mkt_vwap_lag5,True,existing_pm_final_predictor,2127,0.99765478424015,1902,False,False,all_in_finbert_60d,,,
mkt_max_vwap,market_microstructure,current_pm_final,mkt_max_vwap,True,existing_pm_final_predictor,2132,1.0,1720,False,False,all_in_finbert_60d,,,
mkt_min_vwap,market_microstructure,current_pm_final,mkt_min_vwap,True,existing_pm_final_predictor,2132,1.0,1752,False,False,all_in_finbert_60d,,,
mkt_blend,market_microstructure,current_pm_final,mkt_blend,True,existing_pm_final_predictor,2132,1.0,2,False,False,all_in_finbert_60d,,,
